amount,time_of_day,receiver_age_days,receiver_report_count,location_risk,device_trust_score,is_fraud
91.57,9,264,1,0.061,0.633,0
1957.14,23,141,0,0.502,0.769,1
2224.88,21,147,0,0.357,0.828,1
5250.55,15,76,0,0.098,0.828,0
1382.07,22,474,1,0.206,0.837,1
3873.09,0,42,0,0.204,0.852,0
3133.32,6,95,1,0.138,0.893,0
2050.49,19,9,0,0.382,0.701,1
2167.37,0,117,1,0.057,0.774,0
3111.02,7,496,1,0.052,0.861,0
473.73,15,56,1,0.222,0.664,0
5793.5,12,308,0,0.361,0.677,1
1695.85,9,8,0,0.279,0.793,1
2706.52,13,343,1,0.205,0.789,0
9398.67,6,75,0,0.38,0.635,0
5862.97,9,13,0,0.151,0.445,0
1156.98,11,81,1,0.12,0.734,0
63.41,7,165,0,0.153,0.551,0
4854.17,12,530,0,0.273,0.889,0
2793.48,0,80,0,0.255,0.624,0
3890.46,13,94,0,0.207,0.774,0
5727.65,23,237,0,0.177,0.934,1
6367.01,10,4,1,0.187,0.562,1
2372.32,9,244,1,0.247,0.734,0
3071.11,0,8,0,0.541,0.712,0
4455.47,14,580,0,0.157,0.447,1
4668.58,9,1022,1,0.171,0.719,0
3862.15,8,273,0,0.337,0.785,0
8713.43,12,116,0,0.287,0.825,0
4631.07,22,40,0,0.385,0.741,0
5668.66,12,9,0,0.094,0.876,0
4107.64,7,353,1,0.3,0.859,0
1372.46,9,296,0,0.279,0.838,0
1951.72,13,501,0,0.564,0.783,0
1109.09,4,62,1,0.204,0.457,1
6862.48,5,108,1,0.451,0.646,0
730.84,3,483,0,0.264,0.724,0
2973.01,11,92,1,0.326,0.859,0
2480.93,8,64,0,0.345,0.985,0
2427.81,12,176,1,0.257,0.383,0
2604.86,10,128,1,0.226,0.858,0
9817.7,23,46,3,0.367,0.422,0
432.91,1,424,1,0.232,0.88,0
7994.2,22,204,0,0.104,0.465,0
2787.04,22,63,1,0.425,0.857,0
6081.81,12,201,0,0.078,0.813,0
3543.65,22,608,0,0.202,0.86,0
1225.27,2,40,2,0.051,0.704,1
8510.74,17,198,0,0.458,0.632,0
7645.87,0,1293,0,0.125,0.566,0
1315.74,7,136,1,0.23,0.424,0
5119.41,0,291,0,0.178,0.827,0
2030.44,1,246,0,0.157,0.497,0
766.49,14,136,1,0.283,0.934,0
1699.67,5,110,1,0.31,0.884,0
8180.23,11,226,0,0.116,0.907,0
6184.96,13,180,1,0.201,0.726,0
2629.86,22,130,1,0.311,0.676,0
8206.14,22,26,0,0.185,0.865,0
7254.32,9,300,1,0.202,0.641,0
1702.09,1,321,0,0.14,0.367,0
9559.86,12,81,0,0.189,0.961,0
2460.71,23,75,1,0.283,0.816,0
2745.14,2,126,0,0.424,0.517,0
447.4,1,86,0,0.075,0.548,1
1997.68,13,299,0,0.064,0.814,0
2991.22,1,632,0,0.243,0.694,0
4192.53,0,20,0,0.173,0.712,0
1229.38,10,30,1,0.427,0.588,0
1772.6,0,94,1,0.264,0.859,0
9699.0,11,120,1,0.255,0.587,0
6931.15,22,59,0,0.443,0.681,0
7813.88,8,458,1,0.318,0.971,0
3191.02,13,268,1,0.087,0.92,0
4284.29,21,416,0,0.638,0.538,0
5200.24,14,86,0,0.253,0.713,1
9605.37,7,431,4,0.392,0.634,0
748.52,13,496,1,0.148,0.914,0
2173.01,11,498,0,0.21,0.789,0
4002.49,18,1,0,0.243,0.504,0
3560.65,11,128,1,0.149,0.833,0
1752.81,1,248,0,0.307,0.617,0
4886.05,17,303,0,0.223,0.805,0
2246.37,0,49,0,0.284,0.971,0
3366.57,6,184,1,0.102,0.334,0
4732.07,2,123,0,0.05,0.849,1
2336.13,19,222,0,0.373,0.73,0
5831.76,17,269,0,0.176,0.86,1
6583.84,23,122,0,0.357,0.753,0
1812.26,8,7,0,0.149,0.626,0
2232.97,20,194,2,0.276,0.748,1
1409.16,13,1052,0,0.037,0.772,0
3309.41,2,322,0,0.248,0.913,0
4190.44,14,51,0,0.083,0.716,0
2524.09,10,239,1,0.112,0.509,0
4104.92,16,107,2,0.546,0.889,1
2183.84,0,73,1,0.216,0.92,1
2243.69,19,107,1,0.061,0.743,0
4350.31,17,222,0,0.318,0.956,0
2369.18,19,247,0,0.579,0.899,0
3172.99,12,14,1,0.084,0.811,0
4463.28,8,270,1,0.253,0.517,0
4061.17,18,416,0,0.224,0.509,1
2209.92,11,235,0,0.089,0.755,1
7045.07,16,98,0,0.09,0.924,0
5036.3,16,380,1,0.351,0.793,0
4002.86,3,126,0,0.295,0.774,0
1236.45,18,196,0,0.283,0.649,0
3626.96,19,41,1,0.005,0.753,0
1963.61,3,3,0,0.144,0.539,0
4778.65,19,200,1,0.49,0.681,0
60.6,14,41,0,0.244,0.776,0
2714.31,12,11,1,0.388,0.768,0
2128.16,19,42,2,0.112,0.97,0
5846.87,10,269,4,0.153,0.987,1
468.48,10,61,0,0.07,0.625,0
3452.18,19,194,1,0.33,0.72,0
4992.77,19,236,1,0.208,0.765,0
10792.49,20,50,0,0.105,0.849,0
2237.74,6,189,1,0.544,0.624,0
4243.22,17,63,1,0.442,0.942,0
508.28,14,232,1,0.332,0.903,0
3319.0,19,54,0,0.287,0.747,0
7396.09,10,124,2,0.467,0.781,0
10861.41,6,66,1,0.086,0.845,0
4538.69,11,1032,0,0.331,0.646,0
700.03,4,216,0,0.134,0.881,1
8201.39,20,24,0,0.408,0.565,0
707.21,7,596,0,0.297,0.246,0
1121.25,9,231,0,0.183,0.638,0
8669.79,22,161,0,0.508,0.714,0
3135.4,2,79,0,0.038,0.536,0
2030.44,1,111,3,0.406,0.877,0
5482.35,5,212,1,0.183,0.507,0
3775.79,10,48,1,0.162,0.646,0
6952.12,20,117,0,0.255,0.816,0
3907.4,15,218,1,0.282,0.566,0
3974.32,8,154,0,0.351,0.802,0
6785.3,11,451,2,0.281,0.323,0
3102.11,7,67,0,0.758,0.448,0
1526.4,2,498,0,0.301,0.578,1
5704.11,11,234,0,0.094,0.585,0
2635.34,12,84,0,0.46,0.781,1
4142.25,6,32,0,0.191,0.628,0
379.71,9,70,0,0.28,0.744,0
3003.67,10,51,3,0.406,0.834,0
2155.69,12,483,0,0.233,0.718,0
363.99,17,142,0,0.203,0.777,0
3078.61,13,224,0,0.096,0.577,0
3160.52,21,14,1,0.156,0.846,1
4364.18,13,592,0,0.303,0.931,0
7312.37,16,434,0,0.574,0.596,0
6530.03,14,140,0,0.116,0.666,0
2285.85,8,594,1,0.386,0.597,0
3836.13,1,150,0,0.113,0.47,0
4826.56,22,390,1,0.388,0.473,1
2341.15,14,198,1,0.207,0.659,0
782.26,3,72,1,0.419,0.603,0
2823.52,20,270,3,0.06,0.781,0
7520.18,14,73,2,0.65,0.614,1
740.67,2,76,0,0.451,0.566,0
1382.55,17,296,0,0.308,0.703,0
1677.21,15,170,0,0.103,0.839,1
1397.73,10,169,0,0.19,0.822,0
5499.42,0,114,1,0.308,0.777,0
1956.89,22,63,3,0.33,0.783,0
5602.91,11,223,0,0.112,0.307,0
3449.18,15,862,1,0.257,0.556,0
552.35,9,36,0,0.24,0.461,0
2384.26,10,29,1,0.256,0.825,0
6663.61,9,88,1,0.109,0.627,1
3748.36,11,212,0,0.034,0.837,0
2537.68,9,281,1,0.174,0.724,0
7581.08,0,128,0,0.217,0.851,0
1254.57,9,3,1,0.617,0.647,1
2019.99,19,92,1,0.446,0.498,0
6241.04,5,458,0,0.383,0.789,0
5420.26,9,117,1,0.647,0.669,0
1153.74,15,17,2,0.439,0.874,1
4709.96,16,31,0,0.197,0.549,0
1928.88,20,186,0,0.211,0.594,1
340.0,21,107,0,0.136,0.956,0
2579.24,7,4,0,0.077,0.777,0
11318.99,10,360,0,0.4,0.74,0
6742.53,2,141,0,0.16,0.501,0
3212.51,12,307,0,0.139,0.812,0
689.77,19,353,0,0.042,0.734,1
355.55,12,37,0,0.358,0.692,0
3457.47,12,432,1,0.286,0.491,0
4489.72,5,89,2,0.498,0.74,0
5544.41,10,41,0,0.331,0.914,1
5105.5,6,95,1,0.092,0.891,0
5416.18,7,736,1,0.018,0.513,0
4099.73,9,491,3,0.222,0.527,0
7470.87,7,601,0,0.23,0.642,0
2152.02,13,1,0,0.239,0.794,0
3417.71,18,53,1,0.348,0.333,1
555.07,16,260,1,0.258,0.683,0
2112.89,19,318,0,0.3,0.85,0
6616.7,1,147,0,0.272,0.599,0
5295.0,2,80,1,0.358,0.395,0
194.16,6,84,1,0.577,0.544,0
11874.57,0,154,2,0.426,0.941,0
3755.72,12,1,1,0.309,0.759,0
3809.26,4,235,0,0.371,0.633,0
1998.0,9,170,0,0.141,0.675,0
2394.49,13,142,0,0.015,0.535,0
3724.24,9,44,0,0.307,0.646,1
5084.46,1,39,0,0.045,0.894,0
4242.86,11,22,0,0.249,0.366,0
2138.36,22,489,1,0.19,0.747,1
1506.69,14,406,0,0.677,0.823,0
1412.13,3,173,1,0.529,0.816,0
6972.0,13,64,1,0.311,0.78,0
6408.25,20,284,0,0.332,0.639,1
4756.5,20,32,0,0.457,0.821,0
6937.74,7,334,0,0.261,0.726,0
3020.47,17,339,0,0.389,0.749,1
6032.96,13,67,1,0.11,0.771,0
4934.09,20,135,1,0.291,0.34,1
6145.97,3,190,0,0.218,0.805,0
1279.28,0,45,1,0.186,0.767,0
4056.81,13,82,1,0.443,0.731,0
2507.03,16,183,0,0.166,0.722,0
259.93,23,160,3,0.325,0.461,0
7738.99,15,116,0,0.189,0.859,0
6420.56,1,52,0,0.358,0.974,0
4322.29,22,154,0,0.369,0.78,0
1594.02,12,93,0,0.131,0.494,1
525.19,5,46,2,0.265,0.7,0
254.26,13,72,0,0.163,0.638,1
2099.49,4,54,1,0.115,0.839,0
5472.2,22,95,0,0.409,0.975,0
2528.98,11,664,1,0.198,0.507,1
4798.64,12,552,0,0.211,0.557,0
4970.99,15,217,1,0.112,0.612,1
5416.22,6,275,1,0.213,0.567,0
416.5,11,100,0,0.346,0.676,0
1728.64,14,298,0,0.32,0.777,0
4735.06,16,377,0,0.472,0.524,0
8883.63,4,321,1,0.145,0.788,0
7270.13,11,43,0,0.37,0.803,0
4159.23,7,344,0,0.119,0.576,0
7794.57,8,336,0,0.18,0.804,1
4135.78,11,250,1,0.394,0.919,0
717.85,21,373,2,0.34,0.697,0
5351.6,13,369,0,0.074,0.785,0
7440.47,7,172,0,0.477,0.763,0
10751.38,23,225,0,0.063,0.722,0
2048.82,19,85,1,0.104,0.8,0
1150.28,8,24,0,0.463,0.683,1
6045.23,14,154,1,0.443,0.731,1
4532.27,2,148,0,0.08,0.76,0
4239.36,20,318,0,0.259,0.71,0
7868.33,0,42,1,0.125,0.364,0
6028.83,5,379,0,0.575,0.965,0
4844.61,15,313,0,0.161,0.605,0
2278.76,9,260,0,0.674,0.457,0
5693.22,21,40,0,0.189,0.5,0
1102.55,13,77,0,0.432,0.569,0
4127.07,7,108,2,0.208,0.87,0
3246.5,1,0,1,0.078,0.554,0
678.47,0,45,0,0.299,0.49,0
4541.84,6,218,0,0.28,0.887,0
2052.73,15,171,0,0.325,0.976,0
4462.09,17,584,0,0.38,0.725,0
1421.81,19,37,1,0.322,0.485,0
6070.7,2,146,0,0.551,0.562,1
9810.82,21,4,1,0.137,0.474,0
1102.96,12,175,1,0.235,0.705,0
1420.04,2,22,1,0.067,0.838,0
918.73,0,19,0,0.142,0.637,0
2810.6,23,116,0,0.419,0.75,1
4412.05,12,82,1,0.14,0.755,0
5452.85,14,120,0,0.085,0.602,0
4067.26,2,6,0,0.275,0.446,0
5336.43,4,16,0,0.551,0.69,0
3157.01,12,15,0,0.322,0.779,0
2031.89,1,28,0,0.352,0.579,1
1454.2,1,113,0,0.226,0.691,0
2894.73,9,116,0,0.316,0.974,0
1488.31,19,78,0,0.294,0.883,0
4316.07,6,22,1,0.434,0.883,0
1511.02,3,393,0,0.325,0.728,0
2226.0,10,198,0,0.147,0.831,0
6947.86,1,199,1,0.18,0.595,0
7403.18,18,75,0,0.313,0.691,0
7246.79,20,446,1,0.271,0.884,0
3198.08,14,73,0,0.548,0.459,0
2103.49,16,210,2,0.15,0.934,0
4800.9,21,501,1,0.153,0.711,0
1540.7,4,1026,0,0.25,0.928,0
5641.33,21,46,0,0.337,0.829,0
1943.23,21,405,2,0.278,0.901,0
2799.56,7,250,1,0.564,0.617,0
5729.0,10,15,0,0.116,0.422,1
495.69,8,39,0,0.218,0.773,0
2016.05,5,143,1,0.506,0.669,0
4383.5,11,142,0,0.095,0.898,0
5081.09,8,308,1,0.182,0.387,1
4509.71,13,113,0,0.339,0.418,1
2771.6,14,253,0,0.407,0.787,0
6132.99,20,1072,0,0.465,0.896,0
1409.29,14,602,0,0.578,0.617,0
1352.69,1,156,2,0.141,0.837,0
4352.43,18,293,3,0.5,0.803,0
1263.32,4,84,1,0.288,0.859,0
10033.42,5,304,1,0.193,0.718,0
2066.37,11,203,0,0.283,0.852,0
6054.41,21,113,1,0.376,0.808,0
1060.3,13,132,0,0.151,0.348,0
8664.14,0,119,0,0.244,0.602,0
3370.0,17,211,0,0.192,0.813,0
2018.37,5,243,1,0.425,0.777,0
2618.99,6,134,0,0.463,0.822,0
1748.71,8,396,2,0.327,0.216,0
2793.42,18,585,0,0.511,0.936,0
1124.38,23,226,2,0.098,0.66,0
2074.35,14,42,0,0.288,0.739,1
5974.62,14,39,0,0.168,0.787,0
3903.96,21,1472,0,0.24,0.947,1
1382.73,0,149,0,0.682,0.554,0
2870.49,13,217,0,0.171,0.635,0
7460.4,16,142,0,0.162,0.826,0
2281.79,9,217,0,0.227,0.783,0
1250.32,16,123,1,0.325,0.446,0
4950.47,19,413,1,0.137,0.591,0
282.6,18,65,0,0.617,0.925,1
2666.84,20,1057,0,0.101,0.636,0
7902.52,21,192,1,0.228,0.906,0
2806.24,19,19,1,0.166,0.89,1
6387.07,0,122,1,0.453,0.887,0
1233.87,3,101,0,0.093,0.852,0
2720.31,22,543,0,0.178,0.546,0
2519.19,21,71,0,0.292,0.864,0
4762.88,11,125,0,0.385,0.859,0
3511.58,0,257,0,0.042,0.993,0
8614.58,18,19,0,0.145,0.826,0
2177.69,10,41,1,0.261,0.678,0
3479.66,9,213,0,0.405,0.622,0
2596.04,7,21,1,0.215,0.781,0
3290.63,17,68,1,0.043,0.846,0
3067.51,16,108,0,0.4,0.915,0
1527.07,9,50,0,0.13,0.655,0
5749.59,15,79,0,0.198,0.829,0
1890.38,0,55,0,0.359,0.692,0
1776.38,6,300,2,0.266,0.596,1
723.96,22,55,1,0.344,0.542,0
2125.75,9,309,1,0.108,0.708,0
1869.16,16,57,2,0.263,0.95,0
366.63,4,13,0,0.302,0.473,0
2783.98,23,439,1,0.011,0.53,0
8359.81,8,258,2,0.199,0.902,0
875.44,15,48,2,0.127,0.664,0
3244.92,23,73,1,0.257,0.9,0
2731.73,9,52,0,0.394,0.987,0
5227.12,23,268,0,0.274,0.8,0
5499.47,4,3,0,0.281,0.441,1
12567.32,2,659,0,0.451,0.734,0
4009.94,10,94,1,0.369,0.694,0
1661.33,1,67,2,0.326,0.904,0
2075.89,20,306,0,0.356,0.622,0
2258.49,6,78,1,0.201,0.156,0
1935.89,13,169,0,0.145,0.852,0
9747.19,16,105,1,0.343,0.701,0
5317.18,1,197,1,0.259,0.439,1
4733.48,2,21,0,0.134,0.89,0
1283.83,21,97,1,0.309,0.743,0
5461.08,4,465,0,0.516,0.528,1
7081.42,18,743,0,0.134,0.474,0
2771.07,15,24,1,0.225,0.94,0
2055.54,16,215,0,0.152,0.562,0
8756.8,16,106,0,0.153,0.638,0
1833.8,8,88,0,0.422,0.85,0
1671.32,13,4,0,0.321,0.946,0
1432.82,23,24,0,0.147,0.807,0
3124.29,20,53,0,0.499,0.928,1
4001.21,8,124,1,0.375,0.934,0
6442.32,21,221,2,0.426,0.583,0
4887.25,1,161,0,0.391,0.337,0
4831.68,19,112,0,0.418,0.825,0
7816.96,0,196,0,0.522,0.667,0
1370.79,5,113,0,0.373,0.91,0
821.05,16,90,0,0.05,0.766,0
5057.36,23,741,0,0.598,0.771,1
3012.05,15,372,1,0.382,0.757,0
6458.2,1,22,0,0.338,0.78,0
3234.3,15,219,0,0.493,0.557,0
1996.39,17,1069,0,0.278,0.809,0
5109.24,16,192,0,0.154,0.659,1
3547.63,6,51,1,0.423,0.814,0
3236.45,8,222,0,0.362,0.518,0
14084.68,11,41,2,0.342,0.908,1
7421.34,14,343,0,0.198,0.715,1
5569.65,7,150,2,0.275,0.768,0
3630.41,17,64,0,0.252,0.984,0
3401.45,21,85,0,0.49,0.661,0
2609.36,19,252,1,0.197,0.6,0
3907.21,19,25,2,0.151,0.644,1
2224.48,3,472,0,0.243,0.709,0
1109.43,0,26,0,0.056,0.752,1
3206.19,12,107,0,0.174,0.572,0
4142.4,8,289,0,0.227,0.693,0
6468.52,1,305,0,0.296,0.622,0
1679.9,0,20,2,0.49,0.872,1
3421.92,5,65,1,0.134,0.703,0
4860.55,21,86,1,0.038,0.926,0
4784.37,14,494,0,0.506,0.681,0
9428.59,17,124,1,0.294,0.58,0
2650.08,11,461,0,0.299,0.685,0
1556.52,1,388,2,0.09,0.529,0
3592.32,21,8,1,0.41,0.809,0
2760.55,2,240,0,0.067,0.448,0
2389.27,3,424,0,0.811,0.864,1
2134.47,22,91,0,0.245,0.783,0
4154.42,12,132,1,0.147,0.53,1
1893.51,4,54,0,0.462,0.854,0
5566.3,12,148,0,0.163,0.732,0
5386.7,0,87,1,0.251,0.847,1
4427.0,22,253,0,0.493,0.85,0
1368.56,20,54,0,0.358,0.614,0
4020.07,17,143,0,0.335,0.893,0
6760.32,5,126,1,0.36,0.961,0
5842.58,3,103,0,0.256,0.559,0
5293.53,3,58,2,0.18,0.639,0
3383.63,4,250,2,0.267,0.7,0
3271.16,0,50,2,0.442,0.863,1
7501.73,9,463,1,0.304,0.869,1
4107.1,7,188,0,0.436,0.583,0
4144.24,20,806,1,0.187,0.563,0
16708.17,21,500,0,0.259,0.84,0
2604.88,16,31,0,0.595,0.457,0
325.06,16,305,1,0.166,0.389,1
2912.77,7,39,0,0.073,0.454,1
3046.01,13,564,0,0.103,0.482,0
4063.29,20,230,0,0.215,0.667,0
4752.83,15,42,0,0.521,0.846,0
408.41,11,37,0,0.083,0.443,0
4821.31,8,275,1,0.323,0.565,1
3187.32,3,193,0,0.082,0.881,0
2699.91,3,29,0,0.08,0.451,0
677.46,20,140,1,0.522,0.732,1
8543.59,17,350,0,0.111,0.905,0
2363.41,20,32,0,0.255,0.418,0
5342.4,16,3,0,0.093,0.706,1
1658.62,15,28,0,0.344,0.875,0
4191.54,8,41,1,0.497,0.482,0
2733.69,15,200,1,0.093,0.881,0
5230.58,22,82,0,0.355,0.642,1
2662.48,1,22,0,0.102,0.549,0
1591.89,5,101,0,0.247,0.758,0
3297.06,23,177,1,0.248,0.913,0
3174.18,17,73,1,0.49,0.849,0
3995.82,4,175,0,0.237,0.691,0
6331.59,17,485,0,0.278,0.594,1
1289.97,4,103,0,0.336,0.617,0
6117.29,22,568,0,0.266,0.827,0
1112.69,0,393,0,0.249,0.569,0
5093.21,0,4,1,0.532,0.823,0
5203.2,0,221,0,0.096,0.747,0
2264.11,11,83,1,0.412,0.788,0
1732.96,11,59,0,0.21,0.579,0
1654.69,4,267,2,0.336,0.872,0
3532.62,11,261,0,0.504,0.774,0
5435.36,20,233,0,0.286,0.506,0
2980.81,12,8,0,0.142,0.674,0
279.3,9,180,1,0.263,0.877,0
2144.63,13,181,0,0.183,0.954,0
2082.93,16,682,1,0.038,0.869,1
4730.55,9,303,1,0.189,0.743,0
4901.02,15,90,0,0.303,0.434,0
3732.7,7,203,1,0.504,0.898,0
6124.94,11,442,1,0.487,0.875,0
6432.33,12,336,0,0.521,0.841,0
2249.58,5,114,0,0.111,0.91,0
1622.95,15,519,2,0.201,0.615,0
3141.25,17,728,0,0.364,0.83,0
3727.29,21,293,1,0.23,0.839,0
2158.78,23,39,0,0.15,0.869,0
19260.47,20,275,0,0.388,0.558,1
8222.78,2,103,0,0.337,0.704,0
1997.02,8,56,0,0.103,0.75,1
1340.16,8,24,0,0.311,0.767,0
1865.39,16,22,0,0.363,0.92,0
6508.72,6,103,0,0.166,0.789,0
6613.98,20,165,0,0.434,0.52,0
8288.0,11,226,1,0.502,0.851,0
1581.32,0,403,1,0.306,0.462,0
4717.53,6,31,0,0.201,0.775,0
1711.34,4,75,0,0.468,0.708,1
9455.37,19,7,0,0.477,0.642,1
1629.4,0,219,0,0.262,0.895,1
1072.25,20,5,0,0.289,0.631,0
1271.41,23,9,1,0.392,0.755,0
3307.98,8,182,0,0.098,0.698,0
5383.03,15,43,0,0.375,0.742,0
5147.99,7,215,0,0.271,0.767,0
1322.07,1,88,0,0.404,0.855,0
2459.46,5,60,1,0.329,0.456,0
2208.63,15,286,1,0.172,0.346,0
1154.0,22,270,0,0.229,0.857,0
2166.28,23,13,1,0.371,0.85,0
8059.64,22,258,0,0.178,0.665,0
1009.71,0,583,1,0.058,0.908,0
3909.49,20,128,0,0.381,0.848,0
8180.42,4,152,0,0.11,0.457,0
7909.27,12,83,0,0.296,0.637,0
9738.65,2,289,0,0.602,0.718,0
4185.22,13,289,0,0.172,0.607,0
4627.08,21,444,0,0.153,0.545,0
2199.42,21,257,0,0.535,0.387,0
988.15,7,777,1,0.165,0.616,1
2976.95,20,702,1,0.371,0.519,0
7041.87,16,105,0,0.078,0.981,0
272.9,18,256,0,0.605,0.628,1
2281.57,13,4,1,0.154,0.924,0
4942.42,8,97,0,0.133,0.509,0
3341.47,6,105,0,0.305,0.748,0
7624.51,20,356,0,0.206,0.782,0
6568.84,13,64,1,0.434,0.926,0
867.7,0,48,0,0.182,0.518,0
3551.81,11,124,1,0.443,0.622,0
1784.54,3,51,0,0.061,0.455,0
1764.86,23,39,1,0.099,0.981,0
938.44,14,129,1,0.155,0.968,0
3992.8,0,64,3,0.566,0.582,1
7728.71,7,26,0,0.313,0.796,1
4250.5,14,59,2,0.212,0.716,1
879.09,5,275,0,0.34,0.805,0
3202.06,1,23,0,0.421,0.777,0
4808.35,12,20,0,0.289,0.77,0
3024.9,6,105,0,0.13,0.637,0
4196.66,1,35,0,0.071,0.691,0
1910.8,0,98,0,0.104,0.577,0
2761.02,22,495,0,0.255,0.969,0
2629.39,7,32,0,0.157,0.714,0
8667.25,15,253,0,0.105,0.53,0
1348.66,10,16,0,0.237,0.725,0
327.47,22,301,0,0.172,0.917,0
8309.6,6,547,1,0.324,0.496,0
3641.42,6,301,0,0.114,0.484,0
1098.3,19,427,0,0.134,0.468,0
6188.42,1,271,1,0.119,0.721,0
5014.79,12,64,1,0.243,0.726,1
9591.98,3,52,1,0.259,0.839,0
3855.76,13,460,2,0.256,0.623,0
14109.92,8,6,0,0.591,0.428,0
3045.61,17,155,1,0.386,0.638,0
5021.33,3,82,2,0.114,0.47,0
5528.25,13,486,1,0.153,0.469,1
2354.54,20,36,0,0.435,0.719,0
2294.33,21,92,1,0.378,0.723,0
5606.1,6,21,1,0.274,0.825,0
1007.02,21,557,0,0.171,0.872,0
1774.24,3,82,0,0.09,0.861,0
2981.1,21,93,2,0.072,0.706,0
9397.55,2,13,1,0.079,0.958,0
5608.72,16,22,2,0.693,0.821,0
3535.08,7,540,0,0.584,0.494,0
2178.88,19,208,0,0.298,0.732,0
11875.22,8,190,0,0.232,0.922,0
3186.04,0,311,0,0.211,0.83,0
1772.74,16,199,1,0.516,0.955,0
13346.95,22,59,0,0.373,0.722,0
1053.9,2,489,1,0.125,0.475,0
7887.84,13,56,1,0.218,0.278,0
3370.94,13,344,1,0.592,0.723,1
5599.42,11,66,0,0.328,0.775,0
4925.8,21,59,0,0.427,0.839,0
5543.91,14,174,0,0.476,0.796,0
14125.14,3,29,1,0.307,0.745,0
12756.94,2,94,0,0.591,0.407,0
1856.05,7,140,0,0.242,0.883,0
4795.19,5,444,0,0.157,0.653,0
595.03,16,97,1,0.313,0.617,1
5961.07,5,9,0,0.17,0.888,0
6934.16,15,341,0,0.275,0.852,1
333.79,1,192,1,0.078,0.645,0
3276.76,8,228,0,0.329,0.705,0
5592.36,13,19,0,0.112,0.871,0
4324.73,12,39,0,0.254,0.684,0
1075.53,12,159,0,0.273,0.676,0
1195.17,16,45,0,0.3,0.85,0
2988.33,6,341,0,0.24,0.563,0
2354.27,2,5,0,0.438,0.84,0
2540.5,20,341,0,0.382,0.899,0
931.3,12,125,1,0.225,0.64,0
3415.06,10,178,1,0.464,0.557,0
9445.33,2,44,0,0.336,0.843,1
1121.92,17,98,0,0.304,0.858,0
2797.71,3,171,0,0.15,0.875,0
5167.8,11,35,0,0.288,0.935,1
714.27,15,99,0,0.135,0.627,0
3441.08,7,225,2,0.246,0.734,1
6792.41,14,467,0,0.203,0.763,0
1369.76,14,59,1,0.24,0.742,0
3696.75,15,285,0,0.287,0.56,1
6462.32,15,27,0,0.148,0.866,0
13659.17,6,42,2,0.237,0.982,0
3556.36,13,333,0,0.141,0.817,0
1809.49,7,396,2,0.326,0.91,0
1822.94,17,156,1,0.255,0.839,0
876.26,8,36,1,0.268,0.522,0
9953.22,3,41,0,0.228,0.949,0
6196.52,19,585,0,0.108,0.434,1
1194.88,7,162,1,0.186,0.875,0
1719.48,17,75,1,0.481,0.813,0
3512.2,3,178,1,0.016,0.821,0
6757.65,14,65,0,0.028,0.595,1
4803.72,0,270,0,0.346,0.254,0
4477.21,4,38,0,0.503,0.927,0
3881.58,3,64,0,0.2,0.888,0
1258.6,0,254,0,0.231,0.889,0
3547.1,8,10,0,0.176,0.668,1
3231.38,23,1058,1,0.173,0.515,0
863.32,0,81,1,0.151,0.574,0
9789.56,12,239,0,0.346,0.757,0
2031.26,13,17,1,0.515,0.373,0
888.36,2,167,0,0.098,0.489,0
2329.25,4,153,0,0.411,0.827,0
2711.42,10,61,0,0.531,0.498,0
3156.75,22,85,0,0.264,0.504,0
2675.34,20,378,0,0.129,0.777,0
3296.62,23,53,2,0.26,0.754,0
3734.71,1,234,1,0.068,0.664,0
3592.36,22,119,0,0.196,0.706,0
4453.36,4,143,0,0.227,0.532,0
4647.0,8,92,0,0.139,0.983,0
4731.03,23,308,2,0.398,0.673,0
5591.91,11,1,1,0.536,0.929,0
1846.22,7,39,1,0.427,0.941,0
1904.83,11,89,3,0.181,0.86,1
6778.82,0,47,0,0.561,0.713,0
2388.08,15,158,0,0.214,0.779,0
3022.62,16,234,1,0.359,0.446,0
2816.79,14,178,2,0.448,0.621,0
13338.74,10,136,0,0.263,0.397,0
1581.58,3,235,0,0.548,0.804,0
1554.93,13,438,1,0.316,0.511,0
3305.35,2,233,1,0.048,0.698,0
2880.12,3,221,0,0.475,0.876,0
1183.93,5,520,1,0.085,0.874,0
3101.49,1,636,1,0.107,0.928,0
3374.88,19,46,0,0.554,0.491,0
2194.85,19,80,0,0.525,0.968,0
2959.38,6,2,1,0.174,0.829,0
1720.71,1,88,0,0.269,0.872,0
1186.67,22,258,0,0.212,0.762,0
2373.29,9,742,0,0.318,0.878,0
1367.5,15,3,0,0.199,0.902,0
975.55,23,24,0,0.283,0.892,1
472.9,17,149,0,0.413,0.559,0
3930.38,13,23,0,0.144,0.807,0
2308.64,7,10,0,0.155,0.391,0
6806.0,20,117,1,0.139,0.775,0
2468.6,19,254,0,0.302,0.827,0
3916.42,4,82,0,0.348,0.858,1
1947.16,17,46,0,0.293,0.763,0
3227.85,5,85,0,0.358,0.493,1
477.45,20,28,0,0.207,0.972,0
2344.53,4,88,0,0.314,0.585,0
1590.69,23,136,0,0.178,0.929,0
6340.17,20,15,1,0.396,0.592,0
3734.31,4,159,1,0.347,0.841,0
5745.71,8,142,0,0.234,0.841,0
7314.37,22,106,0,0.187,0.295,0
